OBJECTID,TREE_ID,TREE_NUMBER,HEIGHT_M,GIRTH,AGE_CLASS,SPECIES_ID,SCIENTIFIC_NAME,POPULAR_NAME,NBN_TAXON_VERSION_KEY,EASTING,NORTHING,LATITUDE,LONGITUDE
449,"{A317087E-76F3-46AC-B9AA-0C0E62378691}","WESTEND51","10-15m.","30","Immature",485,"Acer pseudoplatanus","Sycamore","NBNSYS0000003191",337791.306959513,729727.658110611,56.4555800675161,-3.01094573342774
465,"{B7AE41BE-7D10-4419-809C-EA01FF618D93}","WESTEND52","15-20m.","25-50cm","Immature",416,"Betula pendula","Silver birch","NBNSYS0000003827",337789.653082826,729725.673458587,56.4555620216055,-3.01097208944136
481,"{ADF01866-BB82-4C05-82BC-02E2BFBB74F7}","WESTEND53","15-20m.","70","Semi-mature",,,,,337789.983858164,729720.711828526,56.4555174969229,-3.010965539407
497,"{29328DB0-7117-4930-A0FB-1A8D75450D6C}","WESTEND54","10-15m.","30","Immature",416,"Betula pendula","Silver birch","NBNSYS0000003827",337789.545646997,729712.334215401,56.4554421861724,-3.01097064883767
513,"{5AEF0EB3-9253-461C-9106-D7C0D45A1DA7}","WESTEND55","10-15m.","30","Immature",416,"Betula pendula","Silver birch","NBNSYS0000003827",337790.868748346,729710.349563377,56.455424533657,-3.01094871155594
785,"{BB54816F-285E-4622-A004-68295EEC883B}","EASTEND5","5-10m.","25-50cm","Semi-mature",470,"Sorbus aria","Whitebeam","NBNSYS0000003448",343921.832495369,732688.668695422,56.4829486699196,-2.91212981026148
801,"{34D1785A-728A-4A4E-9E49-4586B7DB5A3B}","EASTEND6","5-10m.","25-50cm","Semi-mature",470,"Sorbus aria","Whitebeam","NBNSYS0000003448",343938.30351945,732700.071712093,56.4830530655056,-2.91186486980054
817,"{75DDBD98-EB7B-4048-AEE0-7C24A32EE10A}","EASTEND7","0-5m.","5-10cm.","Young",656,"Sorbus aucuparia","Rowan","NBNSYS0000003438",343942.949192908,732689.935697274,56.4829625692872,-2.9117872656994
833,"{CA612332-5DF2-48B6-B494-176A26207717}","EASTEND8","0-5m.","5-10cm.","Young",656,"Sorbus aucuparia","Rowan","NBNSYS0000003438",343962.798888595,732688.246361471,56.48294976042,-2.91146465316655
1,"{78F48771-86B9-4FF5-A546-CC4F4C047C04}",,"0-5m.","150-200cm","Over-mature",354,"Betula maximowicziana","Monarch birch",,,,56.4875525210511,-2.98998268860959
