HEIGHT_M,GIRTH,AGE_CLASS,POPULAR_NAME,LATITUDE,LONGITUDE
"10-15m.","30","Immature","Sycamore",56.4555800675161,-3.01094573342774
"15-20m.","25-50cm","Immature","Silver birch",56.4555620216055,-3.01097208944136
"15-20m.","70","Semi-mature",,56.4555174969229,-3.010965539407
"10-15m.","30","Immature","Silver birch",56.4554421861724,-3.01097064883767
"10-15m.","30","Immature","Silver birch",56.455424533657,-3.01094871155594
"5-10m.","25-50cm","Semi-mature","Whitebeam",56.4829486699196,-2.91212981026148
"5-10m.","25-50cm","Semi-mature","Whitebeam",56.4830530655056,-2.91186486980054
"0-5m.","5-10cm.","Young","Rowan",56.4829625692872,-2.9117872656994
"0-5m.","5-10cm.","Young","Rowan",56.48294976042,-2.91146465316655
"0-5m.","150-200cm","Over-mature","Monarch birch",56.4875525210511,-2.98998268860959
"20-25m.","99","Mature","Wych Elm",56.4684378068035,-2.9276262669382
"10-15m.","30","Mature","Wych Elm",56.4684302422845,-2.92776043265769
"20-25m.","99","Mature","Wych Elm",56.4685909486018,-2.92791450966861
"20-25m.","99","Mature","Wych Elm",56.4685942295131,-2.92806079500183
"10-15m.","30","Mature","Wych Elm",56.4684347060439,-2.92804109645517
"10-15m.","30","Mature","Wych Elm",56.4684380163503,-2.92818343043969
"10-15m.","25-50cm","Semi-mature",,56.4684412083056,-2.92834156747629
"10-15m.","30","Immature","Sycamore",56.4684331110673,-2.92854684666969
"10-15m.","30","Mature","Wych Elm",56.4684316036634,-2.92874833522515
"20-25m.","99","Mature","Wych Elm",56.4685991676794,-2.92890020014132
"10-15m.","30","Mature","Wych Elm",56.4684314245262,-2.92907662563121
"20-25m.","99","Mature","Wych Elm",56.4685995827331,-2.92924179986142
"20-25m.","99","Mature","Wych Elm",56.4686001425282,-2.92956394631927
"10-15m.","25-50cm","Mature","Wych Elm",56.4684276870219,-2.92957583787215
"10-15m.","25-50cm","Mature","Wych Elm",56.4684294120326,-2.92974231456155
"10-15m.","25-50cm","Mature","Wych Elm",56.4684284470169,-2.92987114350729
"10-15m.","25-50cm","Mature","Wych Elm",56.4684443133793,-2.93052988228988
"10-15m.","25-50cm","Mature","Wych Elm",56.4686040238574,-2.93061814143624
"20-25m.","70","Mature","Wych Elm",56.4686053548242,-2.93079069118891
"20-25m.","70","Mature","Wych Elm",56.4684373676718,-2.93079132174295
"20-25m.","70","Mature","Wych Elm",56.4684433559892,-2.93104278241375
"20-25m.","70","Mature","Wych Elm",56.4684389535307,-2.93127976340924
"15-20m.","70","Mature","Wych Elm",56.4684444783238,-2.93159285591924
"0-5m.","5-10cm.","Young","Turkish Hazel",56.4716200658188,-2.93646502859007
"20-25m.","70","Mature","Wych Elm",56.4703213435542,-2.93550161209443
"0-5m.","5-10cm.",,"Common lime",56.4701541909661,-2.93541231199792
"5-10m.","15-20cm.",,"Turkish Hazel",56.4696405503756,-2.93511099643582
"0-5m.","5-10cm.","Young","Turkish Hazel",56.4715018748803,-2.93617754553476
"0-5m.","5-10cm.","Young","Common lime",56.4713716241703,-2.93610990775196
"20-25m.","70","Mature","Wych Elm",56.4709456169171,-2.93586875984403
"5-10m.","15-20cm.",,"Turkish Hazel",56.4704986353165,-2.93560519523777
"20-25m.","70","Mature","Wych Elm",56.4690806895033,-2.93478462897354
"5-10m.","30","Immature","Plum spp",56.4887616956048,-2.941441633281
"5-10m.","30","Semi-mature","Rowan",56.4647810819647,-3.00260166780471
"5-10m.","15-20cm.","Immature","Common lime",56.4694129896711,-2.91434647416167
"10-15m.","100-150cm","Mature","Sycamore",56.4645239462105,-2.86580475607156
"15-20m.","50-100cm","Mature","English elm",56.4645790890058,-2.86562748812157
"10-15m.","50-100cm","Mature","Wych Elm",56.4643687450109,-2.86615826768103
"10-15m.","25-50cm","Mature","English elm",56.4644143392449,-2.8660619300834
"10-15m.","25-50cm","Mature","English elm",56.4646066037309,-2.86554696735733
"10-15m.","100-150cm","Mature","Sycamore",56.464634118404,-2.86546644647631
